code,nom,marque,programme_marketing,genre,technique,niveau_source,niveau,usage_cible,style_classique_cible,distance_competition_cible,tailles_dispo,size_136,size_143,size_153,size_163,size_168,size_173,size_174,size_178,size_180,size_181,size_183,size_186,size_187,size_188,size_190,size_192,size_193,size_197,size_202,size_207,glisse_max,accroche_classique,maniabilite,stabilite,tolerance,rigidite,nervosite,renvoi_dynamique,sensation_facile,sensation_dynamique,sensation_rigide,sensation_stable_haute_vitesse,sensation_polyvalent,neige_froide,neige_polyvalente,neige_humide,plaisir,confort,progression_technique,performance_chrono,podium_competition,notes
RIOW020,X-7 CLASSIC,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,,,"350,360,370,380,390,400,410,420,430,440,450,460,470,480,490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIOW030,X-7 SC,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,,,"350,360,370,380,390,400,410,420,430,440,450,460,470,480,490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIOW040,XT 5,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,,Intermédiaire,Plaisir,,,"350,360,370,380,390,400,410,420,430,440,450,460,470,480,490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIOW110,XT 5 FW,Rossignol,A02 - ALL MOUNTAIN,Femmes,Classique,,Intermédiaire,Plaisir,,,"350,360,370,380,390,400,410,420,430,440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIP0010,X-IUM CARBON PREMIUM+ SK BOA,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,,,"380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIP0020,X-IUM CARBON PREMIUM+ CL BOA,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,,,"380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIP0030,X-IUM WCS SKATE BOA MV,Rossignol,A01 - RACE,Mixte,Skating,,Compétiteur,Course,,,"350,360,370,380,390,400,410,420,430,440,450,460,470,480,490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIP0040,X-IUM WCS CLASSIC BOA MV,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,,,"370,380,390,400,410,420,430,440,450,460,470,480,490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIP0050,X-IUM WCS SKATE BOA LV,Rossignol,A01 - RACE,Femmes,Skating,,Compétiteur,Course,,,"370,380,390,400,410,420,430,440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIP0060,X-IUM WCS CLASSIC BOA LV,Rossignol,A01 - RACE,Femmes,Classique,,Compétiteur,Course,,,"370,380,390,400,410,420,430,440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIP0070,X-IUM CARBON PREMIUM+ SC BOA,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,,,"380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIP3010,XP 12,Rossignol,A03 - FREE,Mixte,Classique,,Intermédiaire,Plaisir,,,"360,370,380,390,400,410,420,430,440,450,460,470,480",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIPW010,XT 3,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,,Intermédiaire,Plaisir,,,"350,360,370,380,390,400,410,420,430,440,450,460,470,480,490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIPW020,XT 2,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,,Intermédiaire,Plaisir,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIPW030,XT 1,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,,Intermédiaire,Plaisir,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIPW040,X-TOUR ULTRA,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,,Confirmé,Performance,,,"350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIPW050,XR,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,,Intermédiaire,Plaisir,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIPW070,XT 2 FW,Rossignol,A04 - WOMEN,Femmes,Classique,,Intermédiaire,Plaisir,,,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIPW100,XT 2,Rossignol,A02 - ALL MOUNTAIN,U,Classique,,Intermédiaire,Plaisir,,,"350,360,370,380,390,400,410,420,430,440,450,460,470,480,490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIPW110,XT 1,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,,Intermédiaire,Plaisir,,,"350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIPW601,WALKING OVERBOOT,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,,,"385,395,405,415,425,435,445,455,465",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIPW602,OVERBOOT,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,,,"00L,00M,00S,0XL,XXL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJD1014,BC AUTO,Rossignol,A03 - FREE,Mixte,Classique,,Intermédiaire,Plaisir,,,0TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJD1015,BC MANUAL,Rossignol,A03 - FREE,Mixte,Classique,,Intermédiaire,Plaisir,,,0TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJD1016,BC MAGNUM,Rossignol,A03 - FREE,Mixte,Classique,,Intermédiaire,Plaisir,,,0TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJG1006,TOUR STEP IN,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,,Intermédiaire,Plaisir,,,0TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJG1012,L2 SCREW MOUNT PLATE,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,,,0TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJG1013,DEMO BOARD IFP ADULT,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,,,0TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJJ1004,CONTROL STEP-IN,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,,Intermédiaire,Plaisir,,,0TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJK1001,R-SKATE,Rossignol,A01 - RACE,Mixte,Skating,,Compétiteur,Course,,,0TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJK1002,R-CLASSIC,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,,,0TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJL1004,XPLORE,Rossignol,A03 - FREE,Mixte,Classique,,Intermédiaire,Plaisir,,,0TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJL1006,MOVE RACE,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,,,0TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJL1007,MOVE SWITCH,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,,,0TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJM1000,RACE PRO SKATE,Rossignol,A01 - RACE,Mixte,Skating,,Compétiteur,Course,,,0TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJM1001,RACE PRO CLASSIC,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,,,0TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJM1003,RACE CLASSIC,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,,,0TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJM1004,CONTROL STEP IN,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,,Intermédiaire,Plaisir,,,0TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJM1005,TOUR STEP-IN,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,,Intermédiaire,Plaisir,,,0TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJM1007,MOVE TUNE CL,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,,,0TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJM5001,TOUR STEP-IN BULK 20P,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,,Intermédiaire,Plaisir,,,0TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJN1000,CONTROL STEP-IN,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,,Intermédiaire,Plaisir,,,0TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJN1001,ROLLER SKATE PREMIUM+,Rossignol,A01 - RACE,Mixte,Skating,,Compétiteur,Course,,,0TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJN1002,ROLLER CLASSIC PREMIUM+,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,,,0TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJO1000,RACE SKATE,Rossignol,A01 - RACE,Mixte,Skating,,Compétiteur,Course,,,0TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJO1001,RACE CLASSIC,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,,,0TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJO1002,PREMIUM+ SKATE,Rossignol,A01 - RACE,Mixte,Skating,,Compétiteur,Course,,,0TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJO1003,PREMIUM+ CLASSIC,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,,,0TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RKIW500,L2 SKIN BC100 (75x1370),Rossignol,A03 - FREE,Mixte,Classique,,Intermédiaire,Plaisir,,,0TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RKIW501,L2 BC80/85 SKIN,Rossignol,A03 - FREE,Mixte,Classique,,Intermédiaire,Plaisir,,,0TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROLW501,L2 R-SKIN RACE PREMIU,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,Alternatif + double poussée,,"370,410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROLW502,L2 R-SKIN,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,Alternatif + double poussée,,"370,410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROLW503,L2 R-SKIN SPORT,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,Alternatif + double poussée,,"369,409",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROLW508,L2 SKIN XP120 (80x1400),Rossignol,A03 - FREE,Mixte,Classique,,Intermédiaire,Plaisir,,,0TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROLW601,MOUNTING JIG WITH INSERTS - XP,Rossignol,A03 - FREE,Mixte,Classique,,Intermédiaire,Plaisir,,,0TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROLW602,XPLORE BINDING BUMPER KIT - HA,Rossignol,A03 - FREE,Mixte,Classique,,Intermédiaire,Plaisir,,,0TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROLW603,XPLORE BINDING BUMPER KIT - FR,Rossignol,A03 - FREE,Mixte,Classique,,Intermédiaire,Plaisir,,,0TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROLW604,XPLORE BINDING LEASH,Rossignol,A03 - FREE,U,Classique,,Intermédiaire,Plaisir,,,0TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROMW500,R-SKIN PERFORMANCE,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,Alternatif + double poussée,,"270,290,310,330,370,410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROMW501,R-SKIN SPORT 2.0,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,Alternatif + double poussée,,"270,290,310,330,370,410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROMW502,R-SKIN TOUR,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,Alternatif + double poussée,,"270,290,310,330,370,410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROOW500,L2 BC100/105 SKIN,Rossignol,A03 - FREE,U,Classique,,Intermédiaire,Plaisir,,,0TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROOW501,L2 R SKIN FREE XP105/120,Rossignol,A03 - FREE,U,Classique,,Intermédiaire,Plaisir,,,0TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROOW502,L2 R SKIN FREE BC65/85,Rossignol,A03 - FREE,U,Classique,,Intermédiaire,Plaisir,,,0TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTMZA01,X-TOUR ESCAPE R-SKIN / TOUR STEP-IN,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,Intermédiaire,Intermédiaire,Plaisir,Alternatif + double poussée,,,,,,,,,,50-60,,,,55-65,,,,60-70,,65-75,70-80,75-85+,,,,,,,,,,,,,,,,,,,,,,
RTMZA06,X-TOUR VENTURE WAXLESS / TOUR STEP-IN,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,Intermédiaire,Intermédiaire,Plaisir,Alternatif + double poussée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTMZB01,EVO XC 55 R-SKIN / CONTROL STEP IN,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,,Intermédiaire,Plaisir,Alternatif + double poussée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTMZB02,EVO XT 55 POSITRACK / TOUR STEP-IN,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,,Intermédiaire,Plaisir,Alternatif + double poussée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTMZC02,EVO XT 60 POSITRACK / TOUR STEP-IN,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,,Intermédiaire,Plaisir,Alternatif + double poussée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTMZC03,EVO OT 60 POSITRACK IFP / CONTROL STEP IN,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,,Intermédiaire,Plaisir,Alternatif + double poussée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTMZD02,EVO XT 65 POSITRACK / CONTROL STEP IN,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,,Intermédiaire,Plaisir,Alternatif + double poussée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTNZA01,X-TOUR ESCAPE POSITRACK / TOUR STEP-IN,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,Intermédiaire,Intermédiaire,Plaisir,Alternatif + double poussée,,,,,,,,,,50-60,,,,55-65,,,,60-70,,65-75,70-80,75-85+,,,,,,,,,,,,,,,,,,,,,,
RTNZB01,EVO XC 55 R-SKIN / CONTROL STEP-IN,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,Intermédiaire,Intermédiaire,Plaisir,Alternatif + double poussée,,,,,,,40-60,,50-70,,,,,60-80,,,,,80+,,,,,,,,,,,,,,,,,,,,,,,,,
RTNZC01,EVO XC 60 R-SKIN / CONTROL STEP-IN,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,,Intermédiaire,Plaisir,Alternatif + double poussée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTNZD01,EVO XC 65 R-SKIN / CONTROL STEP-IN,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,,Intermédiaire,Plaisir,Alternatif + double poussée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTNZD03,EVO OT 65 POSITRACK IFP / CONTROL STEP-IN,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,,Intermédiaire,Plaisir,Alternatif + double poussée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTPCP01,X-IUM R-SKIN / RACE PRO CLASSIC,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,Alternatif + double poussée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTPCQ01,X-IUM SKATING / RACE SKATE,Rossignol,A01 - RACE,Mixte,Skating,,Compétiteur,Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTPCT01,R-SKIN ULTRA / RACE CLASSIC,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,Alternatif + double poussée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTPCT02,R-SKIN ULTRA STIFF / RACE CLASSIC,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,Alternatif + double poussée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTPCU01,X-IUM SKATING PREMIUM+ S2 / PREMIUM+ SKATE,Rossignol,A01 - RACE,Mixte,Skating,,Compétiteur,Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTPCU02,X-IUM SKATING PREMIUM+S2 STIFF / PREMIUM+ SKATE,Rossignol,A01 - RACE,Mixte,Skating,,Compétiteur,Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTPCU03,X-IUM SKATING PREMIUM+ S1 / RACE PRO SKATE,Rossignol,A01 - RACE,Mixte,Skating,,Compétiteur,Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTPCU05,X-IUM SKATING PREMIUM+ S2 / RACE PRO SKATE,Rossignol,A01 - RACE,Mixte,Skating,,Compétiteur,Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTPCU06,X-IUM SKATING PREMIUM+S2 STIFF / RACE PRO SKATE,Rossignol,A01 - RACE,Mixte,Skating,,Compétiteur,Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTPCV01,X-IUM R-SKIN STIFF / RACE PRO CLASSIC,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,Alternatif + double poussée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTPCY01,X-IUM SKATING WCS+ / RACE PRO SKATE,Rossignol,A01 - RACE,Mixte,Skating,,Compétiteur,Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTPCZ01,X-IUM SKATING PREMIUM+ SX / PREMIUM+ SKATE,Rossignol,A01 - RACE,Mixte,Skating,,Compétiteur,Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTPCZ03,X-IUM SKATING PREMIUM+ S3 / RACE PRO SKATE,Rossignol,A01 - RACE,Mixte,Skating,,Compétiteur,Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTPCZ05,X-IUM SKATING PREMIUM+ SX / RACE PRO SKATE,Rossignol,A01 - RACE,Mixte,Skating,,Compétiteur,Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTPYE01,X-IUM PREMIUM+ R-SKIN / PREMIUM+ CLASSIC,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,Alternatif + double poussée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTPYE02,X-IUM CLASSIC PREMIUM+ C1 / RACE PRO CLASSIC,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTPYE03,X-IUM CLASSIC PREMIUM+ C2 / RACE PRO CLASSIC,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTPYE04,X-IUM CLASSIC PREMIUM+C2 STIFF / RACE PRO CLASSIC,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTPYE05,X-IUM CLASSIC PREMIUM+ C3 / RACE PRO CLASSIC,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
